,index,State,Count
0,0,CA,795868
1,1,FL,401388
2,2,TX,149037
3,3,OR,126341
4,4,VA,113535
5,5,NY,108049
6,6,PA,99975
7,7,MN,97185
8,8,NC,91362
9,9,SC,89216
10,10,MD,65085
11,11,AZ,56504
12,12,NJ,52902
13,13,TN,52613
14,14,UT,49193
15,15,LA,47232
16,16,IL,47105
17,17,MI,43843
18,18,GA,40086
19,19,WA,32554
20,20,CT,29762
21,21,MO,29633
22,22,CO,25340
23,23,OH,24409
24,24,IN,20850
25,25,AL,19322
26,26,MT,15964
27,27,AR,10935
28,28,IA,9607
29,29,DC,9133
30,30,KS,9033
31,31,OK,8806
32,32,ID,8544
33,33,WI,7896
34,34,WV,7632
35,35,KY,6638
36,36,MA,6392
37,37,NV,6197
38,38,MS,5320
39,39,DE,4842
40,40,RI,4451
41,41,NH,3866
42,42,NE,3320
43,43,NM,2370
44,44,ND,2258
45,45,ME,2193
46,46,WY,990
47,47,VT,365
48,48,SD,201
